Applicant's name,Applicant's date of birth,Applicant's contact information,Social Security Number,Loan or insurance policy type,Loan or policy amount,Application date,Application source,Income details,Credit score or credit history,Outstanding debts or liabilities,Identification documents,Employment verification documents,Income verification documents,Details about co-applicants,Property details,Vehicle details,Other asset details,Previous insurance claims history,Previous loan applications or approvals,Geographical data,Risk scores or flags assigned during initial risk assessment,Fraud Indicators,Decision or Outcome,Notes or Comments
Spencer Nelson,1993-09-30,"38302 Jeremy Fields
West Miguelchester, IN 73151",602-37-6616,Mortgage,5866,2020-11-13 08:31:35,Online,638637,792,9260,Passport,Pay Stub,Tax Return,None,Apartment,Sedan,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Approved,Instead avoid dog foreign.
Lisa Gonzalez,1980-11-09,"035 Sosa Pass Suite 331
East Jesus, MP 49865",696-90-8244,Auto Loan,48665,2021-11-25 04:28:09,In-Person,770716,315,99426,Passport,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Truck,Artwork,No Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Approved,Kitchen such society security.
Ruben Holden,1953-12-08,"537 Andrews Falls Suite 794
Ingramshire, CT 17933",797-29-4246,Life Insurance,25314,2023-09-29 21:52:37,Online,87725,540,6047,Driver's License,Pay Stub,Bank Statements,Child,Condo,SUV,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Charge would south every evidence serve country surface.
Michael Cantrell,1982-11-29,"95845 Brett Isle
North Michael, MO 17243",300-04-4313,Mortgage,75980,2020-09-04 01:08:44,Online,115969,502,10026,Driver's License,Pay Stub,Bank Statements,Child,Apartment,Truck,Jewelry,Previous Claims,No Applications,Low Risk Area,Low Risk,Red Flags,Approved,Learn analysis maybe though woman your.
Jessica Wagner,2004-09-04,"673 Buckley Knolls
Kristopherton, TN 50547",,Auto Loan,25145,2022-01-18 22:50:46,In-Person,203072,583,61906,Driver's License,Letter of Employment,Tax Return,None,Single-Family Home,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,Red Flags,Denied,Plan reflect grow within rather.
Maurice Flores,1986-06-14,"40066 Ann Burg Suite 681
Hannahmouth, WY 59630",117-70-5192,Auto Loan,64064,2023-04-20 09:10:02,Online,415253,392,24385,Driver's License,Pay Stub,Tax Return,None,Condo,SUV,Stocks,Previous Claims,No Applications,Low Risk Area,Medium Risk,Red Flags,Denied,About north executive degree score.
Peter Davis,1976-11-01,"4419 Christopher Roads
West Janet, SC 45348",,Life Insurance,82544,2023-01-27 14:09:50,Online,91964,434,55973,Driver's License,Pay Stub,Bank Statements,Spouse,Condo,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Red Flags,Denied,Degree from though read business water force.
Debra Thompson,1982-03-27,"99086 Greer Path
West David, MD 66090",,Auto Loan,46857,2020-08-26 14:28:20,Online,258646,387,97724,Passport,Letter of Employment,Bank Statements,Child,Condo,SUV,Stocks,No Claims,No Applications,Low Risk Area,High Risk,No Indicators,Approved,Rest meet few child.
Yvonne Jones,2003-10-27,"PSC 9034, Box 5140
APO AA 36370",,Auto Loan,94153,2021-08-29 23:09:08,In-Person,822105,796,65906,Driver's License,Letter of Employment,Tax Return,None,Condo,SUV,Stocks,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Three debate pattern western explain reason too any.
Alexandra Moore,1977-06-06,"62442 Michael Roads Apt. 527
Scottstad, NC 83227",487-97-1216,Auto Loan,79056,2023-02-14 23:39:49,Online,191112,314,96865,Passport,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Denied,Face game year life.
Debbie Gibson,1996-09-10,"USNV Cain
FPO AA 01996",,Mortgage,92447,2020-03-19 05:48:42,In-Person,314069,732,55287,Passport,Letter of Employment,Tax Return,Child,Apartment,SUV,Stocks,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Denied,Star ok population.
Julian Robinson,1981-07-09,"4391 Jeffrey Mission
Michellestad, NM 07202",,Mortgage,72754,2023-02-15 15:06:09,Online,899143,743,2443,Passport,Pay Stub,Bank Statements,Spouse,Apartment,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Force note cause trade.
Melissa Woods,1993-03-27,"3631 Darrell Place Suite 404
Port Kelly, AK 92076",038-32-0160,Mortgage,77556,2023-10-03 06:24:42,Online,967007,544,56768,Passport,Pay Stub,Tax Return,None,Apartment,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Denied,Participant report test detail peace painting.
Robert Martinez,2000-07-04,"9318 Edward Crescent Apt. 122
Brownchester, MI 83677",,Auto Loan,61453,2022-04-23 22:29:24,Online,812843,690,65402,Driver's License,Pay Stub,Tax Return,Spouse,Single-Family Home,Truck,Stocks,Previous Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Approved,Experience together four station.
Billy Martinez,1988-12-19,"28995 Reynolds Points
Vargasland, MA 38422",,Life Insurance,26976,2021-03-20 19:05:18,Online,200700,392,74284,Passport,Pay Stub,Tax Return,Spouse,Apartment,Sedan,Stocks,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Approved,Issue stage field environmental weight sport bag.
Amanda Gomez,1976-08-06,"9772 Stephens Extensions Suite 718
East Laurenton, VA 20192",764-04-8422,Auto Loan,18190,2023-02-09 05:42:42,Online,382833,795,50208,Driver's License,Pay Stub,Tax Return,None,Single-Family Home,SUV,Stocks,No Claims,No Applications,High Risk Area,High Risk,No Indicators,Further Investigation,Teach sport there onto among range garden.
Andrew Clark,1970-06-25,"PSC 9036, Box 6379
APO AP 01564",,Mortgage,90648,2022-02-21 14:37:12,In-Person,87941,639,46072,Driver's License,Letter of Employment,Tax Return,None,Single-Family Home,Sedan,Stocks,No Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Why time huge challenge.
Susan Taylor,1996-04-07,"657 Elliott Creek
West Scottland, PA 66644",687-61-3595,Mortgage,48761,2021-07-28 04:51:05,Online,865116,405,48754,Driver's License,Pay Stub,Bank Statements,None,Single-Family Home,Truck,Jewelry,No Claims,No Applications,Low Risk Area,Medium Risk,No Indicators,Denied,Bring past various nothing.
Michael Mcgrath,1975-11-02,"803 Dwayne Oval Suite 719
North Jasonbury, PW 45215",351-97-0709,Life Insurance,86677,2023-06-02 23:56:06,In-Person,105729,585,78464,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Sedan,Stocks,Previous Claims,No Applications,Low Risk Area,Low Risk,Red Flags,Approved,Condition receive model back assume million local.
Thomas Anderson,2004-06-14,"6834 Paul Lodge
Elizabethfort, VA 45121",509-27-1605,Auto Loan,16534,2023-05-27 19:50:24,Online,971740,479,45762,Passport,Pay Stub,Bank Statements,Spouse,Condo,SUV,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Further Investigation,Similar PM support feeling.
Cynthia Thompson,2004-06-26,"561 Walker Causeway Apt. 028
Port Susan, ID 17653",439-76-3630,Auto Loan,69870,2023-08-28 21:14:47,In-Person,110043,347,65128,Driver's License,Pay Stub,Bank Statements,Child,Condo,Truck,Stocks,No Claims,No Applications,Low Risk Area,Low Risk,No Indicators,Denied,Join beat financial who easy.
Amber Miller,1968-04-01,"095 Christopher Ramp Suite 146
Port Amanda, NH 47191",729-85-2577,Auto Loan,96555,2020-05-31 15:55:34,Online,666265,754,49258,Passport,Pay Stub,Bank Statements,Child,Condo,SUV,Jewelry,Previous Claims,No Applications,Low Risk Area,High Risk,No Indicators,Approved,Republican them teach opportunity society go structure.
Noah Brown,2003-03-07,"6012 Johnson Mountain Apt. 688
Barnesland, KY 33855",,Life Insurance,90698,2022-01-30 07:41:00,In-Person,24917,387,94343,Passport,Pay Stub,Tax Return,Spouse,Condo,SUV,Artwork,No Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Denied,Best education respond day above professor.
Douglas Roy,1974-10-08,"14887 Elizabeth Branch
Walkerton, AS 29942",505-71-3435,Life Insurance,83637,2021-01-05 22:08:00,Online,864582,402,79342,Passport,Pay Stub,Tax Return,None,Apartment,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Further Investigation,Whole more off.
David Parker,1954-08-08,"USCGC Swanson
FPO AP 59083",213-28-6168,Life Insurance,89785,2020-02-22 13:07:41,Online,661433,589,97547,Passport,Pay Stub,Bank Statements,Child,Condo,Truck,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Denied,Test standard difficult couple.
Sandra Espinoza,1963-02-27,"755 Richard Highway
Haydenchester, LA 41641",,Auto Loan,64649,2022-02-11 04:06:51,Online,974242,695,51561,Passport,Letter of Employment,Bank Statements,Child,Apartment,Sedan,Jewelry,Previous Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Further Investigation,Real paper quite leave how stock lawyer.
Brittney Nelson,1979-11-17,"59785 Smith Streets
West Mary, PA 22601",,Life Insurance,90394,2023-07-12 05:56:33,In-Person,100394,628,10196,Driver's License,Letter of Employment,Tax Return,None,Condo,SUV,Artwork,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Across issue majority music.
Mr. Jose Mullins,1967-03-29,"274 Ian Forge
Port Tyler, MN 29759",,Life Insurance,15551,2020-03-16 08:15:10,Online,614940,562,12696,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,SUV,Stocks,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Approved,Good body half west.
Andrew Willis,1960-10-03,"963 Haynes Mountain
Lake Jamesport, MS 43388",062-35-6821,Life Insurance,73081,2020-05-22 03:29:15,Online,428708,320,56178,Passport,Pay Stub,Tax Return,Child,Apartment,Truck,Jewelry,Previous Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Teacher mouth head a.
April Huang,1953-10-27,"1906 Buck Walks
Laurahaven, HI 12514",,Life Insurance,24376,2023-06-16 21:57:51,Online,907581,706,76273,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Further Investigation,Court eat run director.
Michael Keller,1964-07-29,"676 Tucker Isle
Bradleyshire, MH 25344",897-26-5989,Auto Loan,39486,2020-08-07 02:27:51,In-Person,299143,801,19444,Passport,Letter of Employment,Tax Return,Child,Apartment,Sedan,Artwork,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,Service list no stuff make behavior.
Nancy Wells,1991-11-20,"86665 Sean Common Suite 886
Yvonneburgh, FM 87247",,Mortgage,61386,2022-05-26 13:17:29,In-Person,811475,534,46268,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,Sedan,Artwork,Previous Claims,No Applications,Low Risk Area,High Risk,Red Flags,Approved,Street green level organization.
Paul Rice,1992-10-24,"USS Robinson
FPO AE 29057",299-27-1754,Mortgage,88679,2022-05-15 07:43:12,Online,751728,575,81285,Passport,Pay Stub,Tax Return,None,Single-Family Home,SUV,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Include area newspaper consumer southern city gun.
Samuel Daniels,1983-02-23,"1875 Amy Village Suite 709
East Michael, ND 82492",156-01-6807,Life Insurance,23467,2021-09-23 08:20:45,In-Person,964065,467,50705,Driver's License,Letter of Employment,Tax Return,Spouse,Condo,Truck,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Further Investigation,Central scene everyone your still.
Christopher Lynch,1986-12-02,"698 Moore Villages
New Monicaberg, MT 84693",663-08-6067,Life Insurance,95562,2020-08-26 07:01:10,Online,972262,834,74118,Passport,Pay Stub,Tax Return,Child,Single-Family Home,Sedan,Artwork,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Score actually attention personal raise story.
David Davis,1963-05-06,"71723 David Path Suite 786
New Courtneystad, PR 92259",402-15-7827,Mortgage,2351,2022-03-29 02:08:56,In-Person,920546,322,97047,Driver's License,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Approved,Note trouble environment property bring animal.
Brett Miller,1994-08-13,"518 Gary Centers Suite 032
Marksborough, WV 43199",,Auto Loan,75782,2020-03-03 07:41:50,In-Person,966389,371,32497,Driver's License,Pay Stub,Tax Return,Child,Apartment,Sedan,Stocks,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Traditional cause style notice against north these.
Wayne Walters,1996-06-13,"801 Cabrera Alley Suite 960
East Anthony, NM 72354",743-50-5884,Mortgage,85078,2022-12-20 16:34:03,Online,964071,565,60201,Passport,Pay Stub,Tax Return,Spouse,Condo,Sedan,Stocks,No Claims,No Applications,High Risk Area,Medium Risk,Red Flags,Further Investigation,Seven feeling within recently forget.
Jason Pacheco,2000-05-05,"835 Richardson Mountains Suite 412
Fowlerbury, SC 41644",,Life Insurance,12650,2022-09-01 18:02:06,In-Person,341320,700,15027,Passport,Letter of Employment,Bank Statements,Child,Condo,SUV,Stocks,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Denied,Themselves sport amount artist cost security.
Charles Weaver,2000-05-10,"28240 Fuller Causeway Apt. 343
Coxbury, MI 68192",,Auto Loan,68685,2020-08-02 13:45:09,In-Person,616754,837,20695,Driver's License,Pay Stub,Tax Return,Child,Condo,Sedan,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Couple reduce green I.
Michael Murphy,1984-09-07,"0740 Garcia Mews Suite 244
Castrostad, ND 69489",108-87-1054,Mortgage,32632,2021-06-02 09:44:37,Online,127446,656,21909,Driver's License,Pay Stub,Bank Statements,Child,Apartment,SUV,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Exactly up model third raise.
Brian Bell,1958-06-20,"31192 Alexander Creek
Port Patricia, OR 54675",739-89-0565,Mortgage,57254,2020-10-29 18:08:01,In-Person,995381,804,23892,Passport,Pay Stub,Tax Return,Child,Condo,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,No Indicators,Denied,Section central tax.
Debbie Lopez DVM,1959-07-30,"0478 Arnold Course Suite 090
Smithview, MP 11719",285-43-1963,Mortgage,8416,2023-09-10 17:24:07,In-Person,285228,762,34292,Driver's License,Pay Stub,Tax Return,Child,Apartment,SUV,Stocks,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Society send find which reach contain more.
Christine Fleming,1966-02-16,"676 Padilla Pines Apt. 908
Amyhaven, VT 44354",,Life Insurance,24135,2020-09-20 10:17:58,Online,154222,328,63690,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,SUV,Stocks,No Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Approved,Statement speak today family four.
Melanie Wright,1993-08-17,"054 Lindsay Ports
Stephanietown, VI 97566",,Auto Loan,63954,2023-08-28 17:09:42,In-Person,480295,792,33384,Driver's License,Pay Stub,Bank Statements,Spouse,Single-Family Home,SUV,Stocks,No Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Denied,Traditional pull five candidate try least.
Jacob Fleming,1995-04-21,"6133 Harrell Garden
Lake Courtneyburgh, MD 51715",,Auto Loan,83433,2021-03-23 06:57:58,Online,86315,631,41055,Passport,Pay Stub,Bank Statements,Spouse,Apartment,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,Red Flags,Approved,Reflect available present section spend.
Alexander Ferrell,1987-04-22,"41834 Michael Viaduct Suite 888
Lake Luis, VT 21239",,Mortgage,40547,2020-08-22 21:17:58,In-Person,908153,376,61749,Driver's License,Pay Stub,Tax Return,None,Condo,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Work easy build professor star explain shake.
Sandra Tran,1969-02-17,"090 Jonathon Mission
Collinsport, KS 40194",840-40-9627,Life Insurance,38736,2020-02-10 12:16:46,In-Person,105906,593,25867,Passport,Pay Stub,Tax Return,Child,Single-Family Home,Truck,Artwork,No Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Denied,Many system oil cost.
Paula Norman,1977-07-03,"41417 Kathleen Place
Hendricksland, AK 69344",,Auto Loan,84710,2021-07-04 14:57:50,In-Person,182282,481,69676,Passport,Letter of Employment,Tax Return,Spouse,Single-Family Home,SUV,Stocks,Previous Claims,No Applications,High Risk Area,Medium Risk,Red Flags,Denied,Keep to degree standard.
Michelle Alvarado,1976-11-29,"773 Watkins Lights Suite 451
East Susanfort, OH 65377",,Life Insurance,78307,2020-12-30 16:42:44,In-Person,587312,763,22293,Driver's License,Letter of Employment,Bank Statements,Child,Condo,SUV,Artwork,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Denied,Bank consumer mother return and near image.
Tina Walls,1985-09-27,"59416 Andrew Causeway
Sarahberg, WI 51559",811-90-7398,Life Insurance,16549,2021-04-15 10:52:00,In-Person,491773,724,79418,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Break cell everything.
James Martin,1957-04-20,"69177 Jonathan Ways
Davidton, MH 28286",404-83-9796,Mortgage,60923,2023-07-01 22:01:19,Online,681664,616,41733,Driver's License,Pay Stub,Bank Statements,Child,Condo,SUV,Artwork,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Approved,Research why material house.
Cory Jordan Jr.,1960-10-25,"903 Kristy Manor Suite 451
Jonesstad, MP 55125",073-80-0434,Mortgage,28731,2021-04-08 07:28:51,Online,270899,550,81020,Driver's License,Letter of Employment,Tax Return,Spouse,Single-Family Home,SUV,Jewelry,Previous Claims,Previous Applications,High Risk Area,High Risk,No Indicators,Denied,Base rule year use significant.
